track_name,artist_name,year,popularity,album_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,language
Eyes Like Yours (Ojos Así),Shakira,2001,39,Laundry Service,0.199,0.726,236867.0,0.974,1.49e-05,6.0,0.158,-5.323,1.0,0.0527,127.052,4.0,0.719,English
The One,Shakira,2001,40,Laundry Service,0.139,0.37,222773.0,0.542,7.91e-06,8.0,0.105,-6.677,1.0,0.043,144.016,4.0,0.14,English
Ready for the Good Times,Shakira,2001,37,Laundry Service,0.184,0.767,253067.0,0.828,0.00194,0.0,0.114,-6.249,0.0,0.0397,121.002,4.0,0.831,English
Rules,Shakira,2001,37,Laundry Service,0.0359,0.692,219107.0,0.865,1.76e-06,5.0,0.185,-6.365,0.0,0.0418,149.001,4.0,0.775,English
Poem to a Horse,Shakira,2001,39,Laundry Service,0.0273,0.644,246427.0,0.878,4.2e-06,11.0,0.149,-5.751,0.0,0.0377,94.013,4.0,0.695,English
Fool,Shakira,2001,36,Laundry Service,0.0456,0.64,230333.0,0.675,0.0,3.0,0.0989,-5.848,1.0,0.0241,100.993,4.0,0.42,English
Antologia,Shakira,2002,56,Grandes Exitos,0.489,0.844,251053.0,0.465,5.56e-06,0.0,0.095,-8.444,1.0,0.0295,97.964,4.0,0.556,English
Inevitable,Shakira,2002,49,Grandes Exitos,0.244,0.646,193453.0,0.478,7.33e-05,6.0,0.127,-7.516,1.0,0.0561,92.133,4.0,0.341,English
Estoy Aquí,Shakira,2002,50,Grandes Exitos,0.022,0.731,233827.0,0.871,0.0,2.0,0.0717,-5.079,1.0,0.0403,116.944,4.0,0.71,English
Que Me Quedes Tú,Shakira,2002,48,Grandes Exitos,0.27,0.759,287813.0,0.505,5.11e-05,7.0,0.286,-8.356,0.0,0.0271,113.031,4.0,0.386,English
"Ciega, Sordomuda",Shakira,2002,53,Grandes Exitos,0.0416,0.746,268187.0,0.89,2.6e-06,1.0,0.0903,-5.126,1.0,0.0346,119.982,4.0,0.917,English
"Te Aviso, Te Anuncio (Tango)",Shakira,2002,44,Grandes Exitos,0.0183,0.604,223400.0,0.896,1.66e-05,11.0,0.0313,-5.385,0.0,0.0497,179.34,4.0,0.636,English
"Suerte (Whenever, Wherever)",Shakira,2002,45,Grandes Exitos,0.178,0.766,194200.0,0.837,0.0,1.0,0.216,-4.75,0.0,0.0357,108.976,4.0,0.889,English
Ojos Así,Shakira,2002,41,Grandes Exitos,0.143,0.715,237533.0,0.957,0.0,1.0,0.127,-4.672,1.0,0.0464,126.999,4.0,0.685,English
Si Te Vas,Shakira,2002,42,Grandes Exitos,0.0499,0.675,210533.0,0.914,0.0,2.0,0.252,-4.513,1.0,0.0408,107.832,4.0,0.826,English
Donde Estas Corazon,Shakira,2002,39,Grandes Exitos,0.0686,0.745,232280.0,0.869,0.0,2.0,0.118,-5.953,1.0,0.0753,109.078,4.0,0.591,English
Moscas en la Casa,Shakira,2002,38,Grandes Exitos,0.717,0.8,211493.0,0.317,1.54e-05,0.0,0.112,-11.883,1.0,0.0294,104.93,4.0,0.49,English
Un Poco de Amor,Shakira,2002,36,Grandes Exitos,0.0688,0.819,240840.0,0.831,5.79e-06,11.0,0.0503,-6.75,1.0,0.0388,101.48,4.0,0.957,English
Tú - En Vivo Without Intro,Shakira,2002,31,Grandes Exitos,0.797,0.356,292547.0,0.548,3.93e-06,0.0,0.729,-7.215,1.0,0.0458,131.786,4.0,0.265,English
No Creo - En Vivo,Shakira,2002,32,Grandes Exitos,0.159,0.605,253040.0,0.806,1.22e-05,2.0,0.991,-6.565,1.0,0.105,136.368,4.0,0.795,English
Dónde Están Los Ladrones - En Vivo,Shakira,2002,31,Grandes Exitos,0.156,0.581,207240.0,0.921,0.00687,9.0,0.94,-4.566,1.0,0.035,124.599,4.0,0.597,English
The One,Shakira,2003,8,Kuschelrock 17,0.145,0.536,223227.0,0.511,9.75e-06,8.0,0.106,-7.944,1.0,0.0411,143.989,4.0,0.162,English
Shoora Shoora,King Shakira,2003,0,This Is Your Machine,1.87e-05,0.885,351720.0,0.65,0.369,4.0,0.126,-4.424,0.0,0.179,127.041,4.0,0.613,English
Anti Sbab Lefrak,"Cheb Safi, Cheba Shakira",2003,0,Spécial Fête,0.199,0.637,461200.0,0.924,4.33e-06,2.0,0.416,-7.98,1.0,0.12,103.994,4.0,0.822,English
Aamri Walat Liya,"Cheb Safi, Cheba Shakira",2003,0,Spécial Fête,0.0841,0.77,461000.0,0.948,0.0,6.0,0.328,-8.402,1.0,0.0724,140.028,4.0,0.855,English
Aachka Ou Maghrouma,"Cheb Safi, Cheba Shakira",2003,0,Spécial Fête,0.097,0.742,360000.0,0.642,0.0,2.0,0.0526,-10.864,1.0,0.0503,100.045,4.0,0.832,English
"Ojos Así - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,28,Live & Off The Record,0.019,0.41,494600.0,0.868,0.0106,6.0,0.993,-8.146,0.0,0.0473,127.984,4.0,0.237,English
"Whenever, Wherever - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,26,Live & Off The Record,0.0334,0.61,472573.0,0.787,0.00442,1.0,0.976,-9.674,0.0,0.0402,108.322,4.0,0.147,English
"Objection (Tango) - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,26,Live & Off The Record,0.027,0.465,262600.0,0.858,4.13e-05,11.0,0.962,-9.841,0.0,0.201,179.635,4.0,0.476,English
"Ciega, Sordomuda - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,25,Live & Off The Record,0.0383,0.59,298840.0,0.922,1.77e-06,0.0,0.986,-6.594,1.0,0.0513,120.391,4.0,0.581,English
"Si Te Vas - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,25,Live & Off The Record,0.0482,0.544,276733.0,0.952,0.0,2.0,0.978,-7.449,1.0,0.155,112.092,4.0,0.242,English
"Back In Black - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,23,Live & Off The Record,0.0472,0.21,323907.0,0.897,0.00228,11.0,0.993,-9.412,0.0,0.095,91.012,4.0,0.444,English
"Underneath Your Clothes - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,24,Live & Off The Record,0.542,0.311,253560.0,0.732,2.06e-06,7.0,0.871,-6.961,1.0,0.05,78.322,4.0,0.297,English
"Poem to a Horse - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,25,Live & Off The Record,0.0588,0.354,433427.0,0.891,1.49e-05,11.0,0.721,-9.993,0.0,0.139,94.01,4.0,0.391,English
"Tú - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,22,Live & Off The Record,0.747,0.299,290333.0,0.504,0.000128,0.0,0.92,-9.085,1.0,0.0413,133.832,4.0,0.239,English
"The One - Live in Rotterdam, Netherlands - April 2003",Shakira,2004,21,Live & Off The Record,0.2,0.374,226960.0,0.634,2.05e-06,8.0,0.793,-7.857,1.0,0.0348,143.947,4.0,0.178,English
Tell the Truth,House of Shakira,2004,0,The Sweet According to Sweden,0.000188,0.501,237547.0,0.764,0.728,6.0,0.681,-5.697,1.0,0.0294,134.92,4.0,0.312,English
Inevitable,"Shakira Mebarak, Luis Fernando Och Aruxa",2004,0,Karaoke Latino Pop Mujer,0.0972,0.412,189693.0,0.426,0.0167,6.0,0.156,-10.391,1.0,0.0557,187.42,4.0,0.441,English
